system,pooled_q,pooled_g,pooled_k,pooled_J,system_q,system_g,system_k,system_J,stratified_q,stratified_g,stratified_k,stratified_J
S1,48,1,12,0.19871913580246914,48,3,5,0.10196450617283952,48,3,5,0.08989969135802467
S2,48,1,12,0.36344135802469135,48,1,16,0.3013888888888889,48,1,16,0.3013888888888889
S3,46,1,12,0.4996464179257889,48,1,11,0.5047727272727273,48,1,11,0.470787037037037
S4,34,1,12,0.6088679135956983,34,1,12,0.6088679135956983,35,1,11,0.5930695148035572
S5,22,1,12,0.9934782219356687,22,1,12,0.9934782219356687,22,1,12,0.9479563364137832
