system,q_k4,g_k4,J_k4,program_MSE_k4,q_k8,g_k8,J_k8,program_MSE_k8,q_k16,g_k16,J_k16,program_MSE_k16
S1,46,4,0.09735115376708808,0.014283854166666667,48,2,0.11260995370370369,0.004761284722222222,48,1,0.16486111111111112,0.0
S2,44,3,0.3050478186116485,0.02617838541666667,42,2,0.30966509062253744,0.008726128472222223,48,1,0.3013888888888889,0.0
S3,39,2,0.717802782324059,0.03830078125,48,1,0.6533333333333333,0.012766927083333334,39,1,0.5080378250591017,0.0
S4,46,1,1.288132130743139,0.04367838541666667,39,1,0.7727924774201369,0.014559461805555556,30,1,0.5377789598108746,0.0
S5,7,4,2.4025856973995268,0.04574869791666667,24,1,1.3358490937746255,0.015249565972222223,20,1,0.8428924349881798,0.0
