system,random_robust_coverage_5pct,random_median_regret,random_mean_regret,random_p90_regret,lofo_robust_coverage_5pct,lofo_median_regret,lofo_mean_regret,lofo_p90_regret
S1,1.0,1.0,1.0025359865050787,1.0,1.0,1.0,1.0,1.0
S2,0.825,1.0287571740476378,1.0304726012025984,1.0622053439427208,1.0,1.0,1.0,1.0
S3,0.975,1.0028555526527483,1.0078218122148506,1.0205770663453804,1.0,1.0,1.0,1.0
S4,0.875,1.0026479099547876,1.0127960740304145,1.0744714998504712,0.25,1.3204164809863341,1.316477649911928,1.5469307948482685
S5,0.65,1.0,1.036257448902602,1.1113777933820428,1.0,1.0,1.0,1.0
